variable,n_missing,percent_missing
survey_year,1678,100
ethnicity,1678,100
ethnicity_level1,1678,100
ucla_full_score,1047,62.4
dir_lon_full_score,1034,61.62
gpc_full_score,1024,61.03
ons_full_score,1022,60.91
ses,814,48.51
djgls_full_score,674,40.17
scs_full_score,659,39.27
hei_cluster,146,8.7
hei_type,146,8.7
age,36,2.15
hei,2,0.12
bes_full_score,1,0.06
sias_full_score,1,0.06
participant_id,0,0
timepoint,0,0
time_num,0,0
date_completed,0,0
date_completed_month,0,0
completion_level,0,0
longitudinal,0,0
longitudinal_binary,0,0
gender,0,0
sexual_ori,0,0
disability_yn,0,0
international,0,0
year_of_study,0,0
gad_full_score,0,0
phq_full_score,0,0
mspss_full_score,0,0
